user_id,country,device_type,plan_type,signup_ts,device_added,device_added_ts,device_configured,device_configured_ts,alert_viewed,alert_viewed_ts,alert_resolved,alert_resolved_ts
28,US,gateway,free,2024-04-24,1,2024-04-24 15:00:00,1,2024-04-27 11:00:00,0,,0,
29,US,sensor,free,2024-02-08,1,2024-02-08 05:00:00,1,2024-02-11 00:00:00,0,,0,
30,DE,sensor,enterprise,2024-05-30,1,2024-06-01 03:00:00,1,2024-06-03 22:00:00,0,,0,
31,US,gateway,enterprise,2024-01-09,0,2024-01-10 17:00:00,0,,0,,0,
32,DE,sensor,free,2024-05-01,1,2024-05-01 04:00:00,1,2024-05-02 18:00:00,1,2024-05-05 08:00:00,0,
33,DE,gateway,free,2024-06-29,1,2024-06-30 23:00:00,0,,0,,0,
34,FR,gateway,free,2024-06-27,0,2024-06-27 22:00:00,0,,0,,0,
35,FR,tracker,free,2024-03-23,1,2024-03-24 07:00:00,0,,0,,0,
36,UK,gateway,pro,2024-06-08,1,2024-06-09 05:00:00,0,,0,,0,
37,IN,sensor,free,2024-02-21,1,2024-02-22 17:00:00,1,2024-02-24 20:00:00,1,2024-02-27 06:00:00,0,
38,DE,tracker,free,2024-05-19,1,2024-05-21 13:00:00,1,2024-05-23 04:00:00,0,,0,
39,US,gateway,free,2024-03-06,1,2024-03-08 05:00:00,1,2024-03-08 15:00:00,0,,0,
40,IN,sensor,enterprise,2024-04-09,0,2024-04-09 16:00:00,0,,0,,0,
41,DE,gateway,free,2024-01-21,0,2024-01-23 07:00:00,0,,0,,0,
42,IN,sensor,free,2024-06-16,1,2024-06-16 17:00:00,1,2024-06-18 20:00:00,0,,0,
43,DE,tracker,enterprise,2024-01-11,1,2024-01-11 18:00:00,0,,0,,0,
44,FR,sensor,free,2024-03-01,1,2024-03-02 13:00:00,0,,0,,0,
45,IN,gateway,free,2024-01-28,1,2024-01-30 12:00:00,0,,0,,0,
46,US,sensor,free,2024-01-05,1,2024-01-06 05:00:00,1,2024-01-07 04:00:00,1,2024-01-09 01:00:00,1,2024-01-10 21:00:00
47,IN,sensor,free,2024-04-23,1,2024-04-23 22:00:00,0,,0,,0,
48,US,tracker,free,2024-01-15,1,2024-01-17 06:00:00,1,2024-01-19 00:00:00,0,,0,
49,US,tracker,free,2024-06-08,1,2024-06-09 21:00:00,0,,0,,0,
50,DE,sensor,free,2024-03-21,1,2024-03-23 04:00:00,1,2024-03-24 14:00:00,0,,0,
51,FR,sensor,free,2024-02-10,1,2024-02-12 10:00:00,1,2024-02-14 07:00:00,1,2024-02-15 07:00:00,0,
52,UK,sensor,free,2024-06-12,1,2024-06-12 03:00:00,0,,0,,0,
53,FR,gateway,free,2024-03-18,1,2024-03-18 01:00:00,0,,0,,0,
54,UK,gateway,free,2024-04-14,1,2024-04-16 07:00:00,0,,0,,0,
55,US,gateway,free,2024-05-16,1,2024-05-17 21:00:00,1,2024-05-19 21:00:00,1,2024-05-20 17:00:00,1,2024-05-20 19:00:00
56,FR,gateway,enterprise,2024-03-21,1,2024-03-23 09:00:00,0,,0,,0,
57,DE,tracker,free,2024-06-20,1,2024-06-20 17:00:00,0,,0,,0,
58,DE,sensor,free,2024-05-14,1,2024-05-15 05:00:00,1,2024-05-16 19:00:00,0,,0,
59,DE,sensor,pro,2024-04-05,1,2024-04-05 18:00:00,1,2024-04-06 08:00:00,0,,0,
60,IN,gateway,free,2024-02-13,0,2024-02-13 09:00:00,0,,0,,0,
61,IN,tracker,pro,2024-06-20,1,2024-06-20 15:00:00,0,,0,,0,
62,IN,gateway,pro,2024-01-06,1,2024-01-06 09:00:00,1,2024-01-08 17:00:00,1,2024-01-11 02:00:00,0,
63,UK,gateway,pro,2024-05-23,1,2024-05-24 07:00:00,1,2024-05-24 08:00:00,1,2024-05-25 15:00:00,1,2024-05-27 10:00:00
64,IN,gateway,pro,2024-01-04,1,2024-01-04 02:00:00,1,2024-01-06 15:00:00,0,,0,
65,IN,tracker,free,2024-03-04,1,2024-03-06 06:00:00,0,,0,,0,
66,US,sensor,pro,2024-01-05,0,2024-01-07 00:00:00,0,,0,,0,
67,DE,sensor,free,2024-06-13,1,2024-06-13 01:00:00,1,2024-06-14 06:00:00,1,2024-06-16 02:00:00,0,
68,UK,tracker,free,2024-04-12,1,2024-04-14 15:00:00,1,2024-04-16 00:00:00,1,2024-04-17 02:00:00,0,
69,DE,tracker,enterprise,2024-06-02,1,2024-06-03 10:00:00,1,2024-06-04 19:00:00,1,2024-06-05 14:00:00,1,2024-06-08 03:00:00
70,FR,sensor,free,2024-06-06,1,2024-06-08 17:00:00,1,2024-06-09 15:00:00,1,2024-06-11 06:00:00,0,
71,UK,sensor,enterprise,2024-05-09,1,2024-05-09 11:00:00,1,2024-05-12 09:00:00,0,,0,
72,DE,sensor,free,2024-04-24,1,2024-04-24 09:00:00,0,,0,,0,
73,DE,sensor,free,2024-05-25,1,2024-05-25 07:00:00,1,2024-05-25 18:00:00,0,,0,
74,UK,tracker,free,2024-01-07,1,2024-01-08 22:00:00,1,2024-01-10 08:00:00,0,,0,
75,US,sensor,pro,2024-04-19,1,2024-04-20 13:00:00,1,2024-04-22 20:00:00,0,,0,
76,US,tracker,free,2024-04-20,1,2024-04-22 01:00:00,1,2024-04-24 16:00:00,1,2024-04-26 19:00:00,1,2024-04-27 02:00:00
77,UK,sensor,free,2024-03-27,1,2024-03-27 08:00:00,1,2024-03-27 14:00:00,1,2024-03-28 04:00:00,0,
78,DE,gateway,free,2024-05-27,1,2024-05-29 13:00:00,0,,0,,0,
79,IN,sensor,pro,2024-01-15,1,2024-01-16 12:00:00,1,2024-01-16 13:00:00,1,2024-01-18 18:00:00,0,
80,DE,gateway,free,2024-06-28,1,2024-06-28 02:00:00,1,2024-06-29 15:00:00,0,,0,
81,UK,gateway,pro,2024-04-27,1,2024-04-28 21:00:00,1,2024-04-29 15:00:00,1,2024-04-30 02:00:00,1,2024-04-30 18:00:00
82,US,gateway,free,2024-06-04,1,2024-06-04 06:00:00,1,2024-06-04 08:00:00,1,2024-06-05 06:00:00,1,2024-06-06 18:00:00
83,IN,sensor,free,2024-03-07,1,2024-03-08 13:00:00,1,2024-03-11 06:00:00,0,,0,
84,DE,sensor,free,2024-05-10,1,2024-05-12 09:00:00,0,,0,,0,
85,IN,sensor,enterprise,2024-02-24,1,2024-02-24 19:00:00,1,2024-02-25 22:00:00,0,,0,
86,IN,sensor,free,2024-05-19,1,2024-05-21 04:00:00,0,,0,,0,
87,US,gateway,free,2024-02-26,1,2024-02-27 07:00:00,0,,0,,0,
88,US,gateway,pro,2024-02-05,1,2024-02-06 23:00:00,0,,0,,0,
89,UK,gateway,free,2024-05-15,1,2024-05-16 15:00:00,1,2024-05-19 08:00:00,0,,0,
90,IN,gateway,pro,2024-01-09,0,2024-01-11 03:00:00,0,,0,,0,
91,DE,sensor,free,2024-06-11,1,2024-06-13 07:00:00,1,2024-06-14 12:00:00,1,2024-06-14 14:00:00,0,
92,US,sensor,free,2024-05-05,1,2024-05-05 21:00:00,1,2024-05-08 14:00:00,0,,0,
93,UK,sensor,free,2024-03-28,1,2024-03-29 09:00:00,0,,0,,0,
94,US,tracker,free,2024-06-11,1,2024-06-11 21:00:00,1,2024-06-14 10:00:00,0,,0,
95,UK,gateway,pro,2024-05-18,1,2024-05-18 10:00:00,1,2024-05-20 03:00:00,1,2024-05-21 09:00:00,0,
96,IN,sensor,pro,2024-04-29,0,2024-04-29 04:00:00,0,,0,,0,
97,US,sensor,free,2024-05-13,1,2024-05-15 00:00:00,0,,0,,0,
98,IN,tracker,enterprise,2024-06-01,1,2024-06-03 09:00:00,1,2024-06-06 01:00:00,1,2024-06-08 22:00:00,1,2024-06-10 19:00:00
99,DE,gateway,free,2024-01-01,1,2024-01-01 12:00:00,1,2024-01-02 17:00:00,1,2024-01-04 10:00:00,0,
100,DE,gateway,free,2024-01-09,1,2024-01-09 10:00:00,1,2024-01-12 05:00:00,0,,0,
101,DE,sensor,pro,2024-05-04,1,2024-05-06 19:00:00,1,2024-05-08 14:00:00,1,2024-05-10 07:00:00,0,
102,US,sensor,pro,2024-04-29,1,2024-04-29 08:00:00,0,,0,,0,
103,IN,tracker,free,2024-03-17,0,2024-03-19 21:00:00,0,,0,,0,
104,US,gateway,pro,2024-01-29,1,2024-01-29 22:00:00,1,2024-01-30 07:00:00,1,2024-02-01 03:00:00,0,
105,FR,sensor,free,2024-02-15,1,2024-02-16 11:00:00,1,2024-02-19 00:00:00,0,,0,
106,IN,tracker,pro,2024-02-01,1,2024-02-01 04:00:00,0,,0,,0,
107,IN,gateway,pro,2024-06-07,1,2024-06-07 16:00:00,1,2024-06-08 06:00:00,0,,0,
108,UK,sensor,pro,2024-04-13,1,2024-04-14 13:00:00,1,2024-04-15 16:00:00,0,,0,
109,IN,sensor,free,2024-04-15,1,2024-04-15 22:00:00,1,2024-04-17 00:00:00,1,2024-04-18 01:00:00,0,
110,DE,sensor,pro,2024-04-28,1,2024-04-30 14:00:00,0,,0,,0,
111,IN,sensor,pro,2024-01-06,1,2024-01-08 02:00:00,0,,0,,0,
112,DE,gateway,free,2024-06-05,0,2024-06-07 12:00:00,0,,0,,0,
113,FR,sensor,free,2024-06-07,1,2024-06-08 03:00:00,1,2024-06-08 07:00:00,0,,0,
114,UK,tracker,enterprise,2024-05-23,1,2024-05-25 04:00:00,1,2024-05-27 15:00:00,0,,0,
115,US,tracker,free,2024-04-29,1,2024-04-30 16:00:00,0,,0,,0,
116,UK,sensor,free,2024-04-13,1,2024-04-15 23:00:00,1,2024-04-18 01:00:00,0,,0,
117,UK,sensor,free,2024-05-11,1,2024-05-12 06:00:00,1,2024-05-13 14:00:00,0,,0,
118,DE,tracker,pro,2024-04-02,1,2024-04-04 04:00:00,1,2024-04-06 15:00:00,0,,0,
119,UK,gateway,enterprise,2024-05-07,1,2024-05-08 14:00:00,1,2024-05-11 09:00:00,0,,0,
120,US,gateway,pro,2024-05-15,0,2024-05-15 15:00:00,0,,0,,0,
121,UK,sensor,free,2024-04-13,1,2024-04-14 04:00:00,0,,0,,0,
122,UK,sensor,pro,2024-03-05,1,2024-03-07 11:00:00,0,,0,,0,
123,IN,gateway,pro,2024-04-16,0,2024-04-17 16:00:00,0,,0,,0,
124,DE,tracker,pro,2024-02-06,1,2024-02-06 05:00:00,0,,0,,0,
125,IN,sensor,free,2024-03-27,1,2024-03-28 15:00:00,0,,0,,0,
126,IN,tracker,pro,2024-06-06,0,2024-06-08 08:00:00,0,,0,,0,
127,UK,sensor,free,2024-05-31,1,2024-06-01 11:00:00,1,2024-06-02 01:00:00,1,2024-06-04 21:00:00,0,
128,UK,tracker,free,2024-06-19,1,2024-06-19 17:00:00,1,2024-06-22 03:00:00,1,2024-06-22 21:00:00,1,2024-06-23 18:00:00
129,DE,gateway,free,2024-05-18,1,2024-05-18 19:00:00,0,,0,,0,
130,US,sensor,enterprise,2024-03-19,1,2024-03-19 18:00:00,1,2024-03-22 05:00:00,1,2024-03-24 06:00:00,0,
131,IN,gateway,free,2024-04-17,0,2024-04-17 02:00:00,0,,0,,0,
132,IN,sensor,enterprise,2024-04-19,1,2024-04-21 18:00:00,0,,0,,0,
133,DE,sensor,free,2024-02-07,1,2024-02-09 01:00:00,0,,0,,0,
134,IN,sensor,pro,2024-06-24,1,2024-06-25 08:00:00,1,2024-06-26 12:00:00,0,,0,
135,FR,sensor,free,2024-06-02,1,2024-06-03 14:00:00,1,2024-06-06 00:00:00,1,2024-06-08 03:00:00,1,2024-06-10 18:00:00
136,IN,sensor,free,2024-05-07,1,2024-05-08 02:00:00,1,2024-05-09 14:00:00,0,,0,
137,US,gateway,pro,2024-04-18,0,2024-04-20 05:00:00,0,,0,,0,
138,US,gateway,pro,2024-01-24,1,2024-01-26 02:00:00,1,2024-01-28 06:00:00,1,2024-01-28 07:00:00,1,2024-01-30 06:00:00
139,IN,sensor,pro,2024-03-22,1,2024-03-24 21:00:00,0,,0,,0,
140,FR,tracker,pro,2024-03-13,1,2024-03-14 08:00:00,1,2024-03-17 04:00:00,0,,0,
141,FR,gateway,pro,2024-04-05,1,2024-04-05 22:00:00,0,,0,,0,
142,IN,tracker,enterprise,2024-05-19,1,2024-05-20 23:00:00,1,2024-05-22 02:00:00,1,2024-05-24 01:00:00,1,2024-05-24 23:00:00
143,IN,gateway,free,2024-04-14,1,2024-04-14 01:00:00,0,,0,,0,
144,IN,sensor,free,2024-05-24,1,2024-05-25 14:00:00,1,2024-05-26 21:00:00,0,,0,
145,IN,sensor,free,2024-06-29,1,2024-07-01 07:00:00,1,2024-07-04 03:00:00,0,,0,
146,DE,gateway,free,2024-01-14,1,2024-01-14 06:00:00,1,2024-01-16 02:00:00,1,2024-01-17 10:00:00,1,2024-01-17 11:00:00
147,US,sensor,pro,2024-06-01,1,2024-06-01 20:00:00,1,2024-06-02 20:00:00,0,,0,
148,US,sensor,free,2024-01-13,1,2024-01-15 14:00:00,1,2024-01-16 01:00:00,0,,0,
149,DE,sensor,free,2024-02-06,0,2024-02-06 18:00:00,0,,0,,0,
150,IN,sensor,free,2024-01-10,1,2024-01-12 23:00:00,0,,0,,0,
151,FR,sensor,pro,2024-04-27,1,2024-04-28 08:00:00,1,2024-04-30 22:00:00,1,2024-05-01 13:00:00,1,2024-05-04 08:00:00
152,IN,sensor,free,2024-03-13,1,2024-03-14 00:00:00,1,2024-03-16 05:00:00,1,2024-03-16 12:00:00,0,
153,DE,sensor,free,2024-05-14,1,2024-05-16 06:00:00,0,,0,,0,
154,IN,gateway,pro,2024-05-21,1,2024-05-23 03:00:00,0,,0,,0,
155,FR,gateway,pro,2024-05-03,1,2024-05-03 12:00:00,1,2024-05-04 18:00:00,0,,0,
156,IN,sensor,free,2024-04-09,1,2024-04-11 20:00:00,1,2024-04-12 11:00:00,0,,0,
157,US,sensor,pro,2024-04-27,1,2024-04-28 10:00:00,1,2024-05-01 09:00:00,1,2024-05-02 11:00:00,1,2024-05-03 04:00:00
158,UK,sensor,free,2024-01-05,1,2024-01-07 13:00:00,1,2024-01-08 21:00:00,0,,0,
159,IN,sensor,enterprise,2024-01-13,1,2024-01-15 15:00:00,1,2024-01-17 07:00:00,0,,0,
160,US,sensor,free,2024-01-20,1,2024-01-21 15:00:00,1,2024-01-24 14:00:00,0,,0,
161,IN,sensor,enterprise,2024-01-28,0,2024-01-29 13:00:00,0,,0,,0,
162,US,gateway,enterprise,2024-04-24,1,2024-04-24 12:00:00,1,2024-04-26 08:00:00,1,2024-04-28 05:00:00,0,
163,US,gateway,pro,2024-06-28,1,2024-06-28 16:00:00,1,2024-07-01 06:00:00,0,,0,
164,US,sensor,free,2024-06-15,1,2024-06-15 19:00:00,1,2024-06-17 19:00:00,0,,0,
165,DE,sensor,free,2024-05-02,1,2024-05-02 01:00:00,1,2024-05-04 23:00:00,0,,0,
166,UK,gateway,free,2024-01-21,1,2024-01-23 17:00:00,1,2024-01-24 20:00:00,1,2024-01-25 12:00:00,0,
167,IN,tracker,pro,2024-01-17,1,2024-01-17 19:00:00,1,2024-01-19 21:00:00,1,2024-01-20 12:00:00,1,2024-01-22 14:00:00
168,DE,gateway,pro,2024-04-19,1,2024-04-21 04:00:00,1,2024-04-22 21:00:00,1,2024-04-24 13:00:00,1,2024-04-26 16:00:00
169,DE,gateway,enterprise,2024-01-25,1,2024-01-26 20:00:00,1,2024-01-28 14:00:00,0,,0,
170,US,sensor,pro,2024-03-14,1,2024-03-15 20:00:00,1,2024-03-18 16:00:00,1,2024-03-20 04:00:00,0,
171,US,sensor,free,2024-01-19,1,2024-01-19 02:00:00,1,2024-01-19 17:00:00,0,,0,
172,DE,tracker,free,2024-04-25,1,2024-04-25 04:00:00,0,,0,,0,
173,US,sensor,free,2024-01-11,0,2024-01-11 19:00:00,0,,0,,0,
174,IN,tracker,free,2024-02-01,1,2024-02-02 21:00:00,1,2024-02-05 09:00:00,0,,0,
175,US,gateway,pro,2024-01-10,1,2024-01-11 09:00:00,1,2024-01-11 18:00:00,1,2024-01-11 19:00:00,1,2024-01-12 11:00:00
176,DE,gateway,enterprise,2024-04-24,1,2024-04-24 17:00:00,1,2024-04-26 23:00:00,1,2024-04-29 15:00:00,1,2024-04-30 17:00:00
177,US,sensor,pro,2024-02-13,1,2024-02-15 09:00:00,1,2024-02-16 17:00:00,1,2024-02-18 04:00:00,1,2024-02-20 02:00:00
178,IN,gateway,pro,2024-04-02,1,2024-04-02 17:00:00,1,2024-04-05 08:00:00,1,2024-04-06 23:00:00,0,
179,FR,sensor,pro,2024-04-02,1,2024-04-02 04:00:00,1,2024-04-05 01:00:00,1,2024-04-05 07:00:00,1,2024-04-06 07:00:00
180,DE,sensor,free,2024-04-23,1,2024-04-23 08:00:00,1,2024-04-24 21:00:00,1,2024-04-25 07:00:00,0,
181,IN,sensor,free,2024-03-18,1,2024-03-19 13:00:00,1,2024-03-20 10:00:00,0,,0,
182,DE,tracker,pro,2024-01-02,1,2024-01-02 02:00:00,1,2024-01-04 18:00:00,0,,0,
183,FR,gateway,free,2024-01-12,1,2024-01-13 02:00:00,1,2024-01-13 03:00:00,1,2024-01-13 15:00:00,1,2024-01-15 22:00:00
184,UK,sensor,free,2024-03-26,1,2024-03-27 17:00:00,0,,0,,0,
185,IN,sensor,free,2024-03-05,1,2024-03-05 13:00:00,1,2024-03-08 11:00:00,0,,0,
186,US,gateway,enterprise,2024-03-16,1,2024-03-17 00:00:00,1,2024-03-18 16:00:00,1,2024-03-21 13:00:00,1,2024-03-22 06:00:00
187,UK,gateway,free,2024-03-16,0,2024-03-18 14:00:00,0,,0,,0,
188,US,gateway,pro,2024-03-08,1,2024-03-10 17:00:00,0,,0,,0,
189,US,gateway,pro,2024-01-17,1,2024-01-18 07:00:00,1,2024-01-20 18:00:00,1,2024-01-22 11:00:00,1,2024-01-23 01:00:00
190,IN,sensor,pro,2024-06-29,1,2024-06-29 18:00:00,0,,0,,0,
191,DE,gateway,pro,2024-05-26,1,2024-05-26 15:00:00,1,2024-05-29 05:00:00,0,,0,
192,UK,sensor,pro,2024-05-01,1,2024-05-02 00:00:00,1,2024-05-03 10:00:00,1,2024-05-04 12:00:00,1,2024-05-06 15:00:00
193,FR,tracker,free,2024-05-08,1,2024-05-10 17:00:00,1,2024-05-11 02:00:00,0,,0,
194,US,gateway,free,2024-02-21,1,2024-02-21 15:00:00,1,2024-02-22 13:00:00,1,2024-02-24 03:00:00,1,2024-02-24 12:00:00
195,IN,sensor,enterprise,2024-01-17,1,2024-01-19 03:00:00,1,2024-01-20 21:00:00,1,2024-01-21 14:00:00,0,
196,IN,sensor,free,2024-03-02,1,2024-03-02 20:00:00,1,2024-03-04 02:00:00,1,2024-03-06 12:00:00,1,2024-03-08 10:00:00
197,US,tracker,pro,2024-06-09,1,2024-06-11 04:00:00,1,2024-06-14 02:00:00,1,2024-06-16 05:00:00,1,2024-06-18 03:00:00
198,UK,sensor,free,2024-03-10,1,2024-03-10 05:00:00,1,2024-03-11 10:00:00,0,,0,
199,UK,sensor,free,2024-02-21,1,2024-02-23 06:00:00,1,2024-02-24 20:00:00,1,2024-02-25 21:00:00,0,
200,UK,gateway,enterprise,2024-01-06,1,2024-01-07 13:00:00,0,,0,,0,
201,US,sensor,pro,2024-04-05,1,2024-04-07 14:00:00,1,2024-04-07 21:00:00,1,2024-04-08 16:00:00,0,
202,DE,gateway,free,2024-04-10,1,2024-04-10 11:00:00,0,,0,,0,
203,DE,sensor,enterprise,2024-03-04,1,2024-03-05 18:00:00,1,2024-03-06 21:00:00,0,,0,
204,UK,gateway,pro,2024-04-02,0,2024-04-02 06:00:00,0,,0,,0,
205,US,sensor,free,2024-02-28,1,2024-02-29 21:00:00,1,2024-03-01 09:00:00,1,2024-03-03 04:00:00,0,
206,DE,sensor,pro,2024-04-16,1,2024-04-18 09:00:00,1,2024-04-20 20:00:00,1,2024-04-21 02:00:00,1,2024-04-21 18:00:00
207,DE,tracker,free,2024-01-22,1,2024-01-23 15:00:00,0,,0,,0,
208,US,gateway,pro,2024-03-09,1,2024-03-10 13:00:00,0,,0,,0,
209,DE,sensor,free,2024-05-09,1,2024-05-10 16:00:00,1,2024-05-12 01:00:00,1,2024-05-14 15:00:00,1,2024-05-17 12:00:00
210,DE,sensor,free,2024-02-15,1,2024-02-17 10:00:00,1,2024-02-18 21:00:00,0,,0,
211,US,gateway,pro,2024-02-21,1,2024-02-21 07:00:00,1,2024-02-23 14:00:00,1,2024-02-24 22:00:00,1,2024-02-25 18:00:00
212,US,gateway,pro,2024-06-21,1,2024-06-22 16:00:00,1,2024-06-25 03:00:00,1,2024-06-26 10:00:00,1,2024-06-27 06:00:00
213,US,tracker,pro,2024-05-04,1,2024-05-05 11:00:00,1,2024-05-07 07:00:00,1,2024-05-10 05:00:00,0,
214,IN,tracker,free,2024-04-08,1,2024-04-08 14:00:00,0,,0,,0,
215,US,gateway,pro,2024-06-29,1,2024-06-29 09:00:00,1,2024-06-30 00:00:00,0,,0,
216,IN,sensor,pro,2024-02-05,0,2024-02-07 21:00:00,0,,0,,0,
217,IN,sensor,pro,2024-06-27,1,2024-06-28 15:00:00,0,,0,,0,
218,US,gateway,free,2024-01-18,1,2024-01-19 21:00:00,1,2024-01-20 22:00:00,0,,0,
219,US,sensor,pro,2024-01-12,1,2024-01-14 13:00:00,1,2024-01-14 15:00:00,1,2024-01-14 18:00:00,1,2024-01-16 19:00:00
220,UK,sensor,enterprise,2024-02-26,1,2024-02-28 02:00:00,1,2024-02-29 19:00:00,1,2024-03-01 12:00:00,0,
221,US,sensor,pro,2024-04-23,1,2024-04-24 16:00:00,1,2024-04-26 12:00:00,0,,0,
222,US,sensor,enterprise,2024-06-22,1,2024-06-23 04:00:00,1,2024-06-25 06:00:00,1,2024-06-27 04:00:00,0,
223,DE,sensor,free,2024-05-07,1,2024-05-08 12:00:00,1,2024-05-11 11:00:00,1,2024-05-12 16:00:00,0,
224,IN,sensor,pro,2024-02-10,1,2024-02-10 10:00:00,1,2024-02-12 06:00:00,1,2024-02-12 13:00:00,0,
225,IN,gateway,free,2024-04-30,1,2024-05-02 13:00:00,0,,0,,0,
226,IN,sensor,free,2024-04-26,1,2024-04-28 20:00:00,0,,0,,0,
227,FR,sensor,pro,2024-01-20,1,2024-01-21 13:00:00,1,2024-01-23 05:00:00,1,2024-01-25 21:00:00,0,
228,IN,sensor,pro,2024-05-03,1,2024-05-04 00:00:00,1,2024-05-06 12:00:00,1,2024-05-06 23:00:00,0,
229,UK,gateway,free,2024-04-21,1,2024-04-22 10:00:00,0,,0,,0,
230,US,sensor,free,2024-05-01,1,2024-05-01 01:00:00,1,2024-05-03 13:00:00,0,,0,
231,UK,gateway,free,2024-05-27,0,2024-05-27 21:00:00,0,,0,,0,
232,US,tracker,free,2024-04-06,0,2024-04-08 23:00:00,0,,0,,0,
233,US,sensor,free,2024-05-17,1,2024-05-18 20:00:00,0,,0,,0,
234,IN,sensor,free,2024-03-02,1,2024-03-03 16:00:00,1,2024-03-04 05:00:00,1,2024-03-05 16:00:00,0,
235,DE,sensor,free,2024-03-04,1,2024-03-06 04:00:00,0,,0,,0,
236,US,tracker,enterprise,2024-01-24,1,2024-01-24 01:00:00,1,2024-01-24 15:00:00,1,2024-01-25 06:00:00,1,2024-01-26 11:00:00
237,IN,gateway,pro,2024-02-10,1,2024-02-12 05:00:00,1,2024-02-13 03:00:00,0,,0,
238,DE,tracker,free,2024-06-09,1,2024-06-11 19:00:00,1,2024-06-12 11:00:00,1,2024-06-14 09:00:00,0,
239,US,sensor,enterprise,2024-06-10,1,2024-06-11 09:00:00,1,2024-06-11 10:00:00,1,2024-06-11 18:00:00,0,
240,DE,tracker,pro,2024-03-28,1,2024-03-28 11:00:00,1,2024-03-29 21:00:00,0,,0,
241,FR,sensor,free,2024-03-19,1,2024-03-20 17:00:00,0,,0,,0,
242,FR,sensor,free,2024-05-17,1,2024-05-19 20:00:00,1,2024-05-21 05:00:00,0,,0,
243,FR,tracker,free,2024-01-05,1,2024-01-07 01:00:00,0,,0,,0,
244,IN,tracker,free,2024-06-13,1,2024-06-15 12:00:00,1,2024-06-17 15:00:00,1,2024-06-18 17:00:00,1,2024-06-21 04:00:00
245,DE,sensor,free,2024-04-27,1,2024-04-28 22:00:00,1,2024-04-29 23:00:00,0,,0,
246,FR,sensor,free,2024-01-31,1,2024-01-31 16:00:00,0,,0,,0,
247,IN,sensor,free,2024-05-30,1,2024-05-31 10:00:00,0,,0,,0,
248,FR,sensor,pro,2024-01-11,1,2024-01-12 00:00:00,1,2024-01-13 18:00:00,1,2024-01-16 14:00:00,0,
